,PlayId,A,Dis,Orientation,Quarter,Down,Distance,Yards,Week,GameWeather,Temperature,Humidity,WindSpeed,WindDirection,YardLine_std,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_Invd_1,P_Invd_2,P_Invd_3,P_Invd_4,P_Invd_5,P_Invd_6,P_Invd_7,P_Invd_8,P_Invd_9,P_Invd_10,P_Invd_11,P_Invd_12,P_Invd_13,P_Invd_14,P_Invd_15,P_Invd_16,P_Invd_17,P_Invd_18,P_Invd_19,P_Invd_20,P_Invd_21,P_Invd_22,Sx_1,Sx_2,Sx_3,Sx_4,Sx_5,Sx_6,Sx_7,Sx_8,Sx_9,Sx_10,Sx_11,Sx_12,Sx_13,Sx_14,Sx_15,Sx_16,Sx_17,Sx_18,Sx_19,Sx_20,Sx_21,Sx_22,Sy_1,Sy_2,Sy_3,Sy_4,Sy_5,Sy_6,Sy_7,Sy_8,Sy_9,Sy_10,Sy_11,Sy_12,Sy_13,Sy_14,Sy_15,Sy_16,Sy_17,Sy_18,Sy_19,Sy_20,Sy_21,Sy_22,Mx_1,Mx_2,Mx_3,Mx_4,Mx_5,Mx_6,Mx_7,Mx_8,Mx_9,Mx_10,Mx_11,Mx_12,Mx_13,Mx_14,Mx_15,Mx_16,Mx_17,Mx_18,Mx_19,Mx_20,Mx_21,Mx_22,My_1,My_2,My_3,My_4,My_5,My_6,My_7,My_8,My_9,My_10,My_11,My_12,My_13,My_14,My_15,My_16,My_17,My_18,My_19,My_20,My_21,My_22
14,20170907001177,1.68,0.31,269.7,1,0,1,0,1,0.0,63.0,77.0,8.0,225.0,92,17.864937727291405,13.06981254647518,12.712171333017816,9.322494301419551,8.528774824088158,8.496316849082305,7.531699675372085,6.576511233169152,5.982056502575009,5.668791758390842,5.563856576152905,5.544005772002762,5.342695948676097,4.96407091004953,4.834956049438292,4.618246420450085,4.416616351914669,4.239587244060434,4.04609688465316,3.988997367760474,1.0640488710580895,0.0,-1.0,0.0559755659529866,0.0765121914674814,0.0786647673165528,0.1072674294740763,0.1172501350575771,0.1176980587897932,0.1327721554365612,0.1520563053183002,0.1671665922195058,0.1764044337172587,0.1797314481983724,0.1803749925820787,0.1871714223692248,0.2014475655405217,0.2068271127544533,0.2165324040683264,0.2264176736941358,0.2358720182963512,0.2471517683605152,0.2506895612622141,0.9398064573910035,5.762983336760598,4.246784009413767,3.29242120544768,3.137846739299404,2.8752258165910995,2.846476203159829,2.789541531770109,2.7082322659590203,2.5291942892876413,2.030111322828306,2.0094144172605377,1.9504505424963845,1.91755347268254,1.6978783914130309,1.3096357997245132,1.2737328886265358,1.052921369909053,0.8845888995268147,0.3311366118551693,0.0338866829785047,0.0,-1.1127261374725608,2.7442640170834363,1.661498843839372,1.247797679016338,1.1110742836948244,1.0994444201251867,0.8963013028993497,0.6744054622371656,0.4137177196424046,0.1590474569801807,0.0846668040974815,0.0129845746285983,0.0,-0.0749201656731994,-0.1317740217607129,-0.2433408410388772,-0.4866250977875709,-0.6716736487782969,-0.696018200448813,-0.8370362186063246,-0.9995710238970992,-1.2544852961896495,-1.641065758100415,537.4910331478309,431.8711482023393,309.5912024061866,300.6126662620192,300.20592577117986,294.4798796190809,276.5142460370841,262.4778863288545,248.99063331143213,182.0487525635851,175.09627389429187,174.33662910232584,164.4393559147867,134.01348780231797,125.04076909575694,104.1984036243708,91.2638633798816,67.54800483029453,26.53292670997149,24.85361402926736,0.0,-73.33681539987742,248.53420818206743,147.0281567578758,116.1799932346485,107.7282523289054,105.11100149319266,82.35489891044382,64.87565061600034,18.893476222759237,15.140300919514717,0.0,-7.1574546079556285,-43.70256457834297,-51.58967878161421,-54.02179804099167,-69.82929095497799,-72.45862747375661,-101.9022239739157,-110.64329524754412,-115.14319290488773,-145.00003616692766,-148.71582275335248,-158.3894128548871
35,20170907003138,0.9,0.52,116.27,3,1,1,0,1,0.0,63.0,77.0,8.0,225.0,99,9.763411289093582,8.592793492223583,7.323530569336076,6.821326850400878,6.412838685013054,5.774296493946253,5.59785673271476,5.513347440530112,4.507471575062897,4.375065713792191,4.350000000000003,4.233922531176023,3.983779612378176,3.8463749167235326,3.810406802429365,3.784415410601744,3.7158713648348978,3.1140006422606867,3.0679146011582525,2.924961538208669,1.4481022063376598,0.0,-1.0,0.1024232177043561,0.116376589394938,0.1365461631562024,0.1465990447212233,0.1559371830663731,0.1731812699691461,0.1786397987207929,0.1813780123212857,0.2218538671507975,0.2285679954126281,0.2298850574712642,0.2361875997108142,0.2510179019172788,0.2599850564884176,0.2624391703695362,0.2642416044492838,0.2691158820683319,0.3211303127009071,0.3259543142506191,0.3418848374370177,0.6905589920542017,6.726236971697764,5.038408213724385,4.803221011621323,4.784895423704538,4.610266865831243,4.354627875843496,4.2095084003014245,3.937254027964093,3.9042297276853817,3.8658692723285073,3.817453071169141,3.813637061435441,3.515237998603064,3.277172962573383,2.7751410001266783,2.7532097409248046,2.6778026034755777,2.4893656295381907,2.001826068538461,1.8418667983706016,1.1781964812699632,0.0,1.1357943201464331,0.9872814779074576,0.6973781221022779,0.6636080297292144,0.5043718227739229,0.1316619848333167,0.0275609475119371,0.0,-0.162379681484031,-0.2826730372363062,-0.3800678262367465,-0.556030935495722,-0.660997593569532,-0.7978880130627557,-0.9346156756664968,-0.9873048020403062,-1.0285212560569357,-1.2577799756880257,-1.4618696364827926,-1.779927138275348,-1.814764527822448,-1.8475318117442787,661.400235756726,496.5141288329244,473.2550143529719,457.6287158363062,450.9294991804634,444.29134562507966,422.6536253814276,383.9907033564258,382.3703053142932,376.889306679429,369.0155653453873,367.2532574407984,327.9407361895159,290.92889949000846,263.9444266641325,263.51941207115243,207.312620067812,198.0059763344348,133.66056382236556,114.36779427029606,61.07502003011609,0.0,179.53377634958514,160.73169420849823,110.99159883495764,108.50806216718588,98.59781699374923,98.20659851602612,69.82416147613759,33.01208787884585,16.102136506006303,6.414563060673913,0.0,-30.72566210950748,-50.23296477683397,-60.22280919735228,-61.203010304019344,-61.85323338745695,-90.87426142276328,-95.20501097715128,-111.3916462320576,-161.2934131204418,-165.64311374021278,-173.10966212865793
84,20170910003371,2.15,0.48,92.15,4,1,1,1,1,0.0,65.0,53.0,6.0,22.5,99,10.494207926280094,9.686795135647287,7.733336925286517,7.716637868916747,7.389573736014817,7.3453114297489135,6.461276963573065,6.4577782557161205,6.073952584602548,5.333460415152616,5.310084745086469,4.8040503744236425,4.767315806614866,4.6545998753920825,4.285067093990479,4.166545331566663,3.979246159764432,3.727733896082175,3.6919507038962434,3.0615028989043864,0.920271699010678,0.0,-1.0,0.0952906600502695,0.1032333177275538,0.1293102847659712,0.1295901164454123,0.1353258030468342,0.136141266379795,0.1547681682177888,0.1548520188216198,0.1646374393068192,0.1874955323862444,0.1883209116248701,0.2081576840500914,0.209761643777082,0.2148412380808059,0.2333685746490255,0.2400069891052859,0.2513038801447758,0.2682594916581878,0.2708595212131802,0.3266369600230879,1.0866356110646809,6.795115279836688,5.876124333958645,5.393878785123363,5.356878799700408,5.328330579419489,5.071924662432535,4.47889838471707,4.38707382819453,4.387010506868041,4.164994996255118,4.050145528991403,4.046948461872971,3.532068358475478,3.3850574267888587,3.3246137780103893,3.307792825192577,2.861013062839643,2.6478924661156293,2.429952416378324,2.123895378095749,1.9280787146523304,0.0,1.96647386900286,1.4417866980298837,1.321768628646005,1.313873331297557,1.1093505926605358,1.0943693877243563,0.8970313583545585,0.8578975125388589,0.8097687478962298,0.7869903928121232,0.5969576528337707,0.5207291087936933,0.2660184642420961,0.0537285119805182,0.0,-0.0091852396239762,-0.5419006104155295,-0.6861690005707609,-0.9013455914387558,-1.022557041675162,-1.8237277894575132,-2.4530156693590506,723.6313518337556,664.4932336376783,652.1943683023654,600.8456214071457,581.3394614957464,563.9665477730218,526.7472271985318,499.7204165270464,488.2908705485221,484.40548411155777,464.5592966861266,464.2447882338912,400.2505112229035,390.5526562598992,364.2724753968829,359.1767137840019,335.4010280851618,291.1426423443347,278.10934099309753,268.08333663460314,261.99252589766405,0.0,238.67376803995984,237.67434102602232,177.59364694225263,169.3875449383999,150.6903616261356,145.99023683881012,145.26649724623417,140.73590475563054,122.43637490659002,56.70766208056814,56.19332037954938,28.314172869716955,21.051379624042724,20.4668413965272,6.811577971922588,0.0,-55.64831920091871,-77.59577189274056,-99.62856131406278,-110.41931084981648,-189.5813762962635,-233.066095625569
177,20170910022619,2.8,0.46,276.71000000000004,3,1,3,1,1,0.0,68.0,43.0,9.0,135.0,84,16.18992588000329,14.83703811412507,13.42973194073508,10.198063541672996,8.946177954858712,8.544588931013598,8.457712456687089,8.024418982082137,6.896673111000701,6.289117585162489,6.147991541959058,5.785473187216418,5.512404194178796,5.497581286347659,5.471105921109551,5.09619465876256,4.585902310341995,4.37443710664584,4.275628608754514,3.6723017305227,1.069018241191423,0.0,-1.0,0.0617668053215199,0.067398896754736,0.0744616500472953,0.0980578318534333,0.1117795783904449,0.1170331315027199,0.1182352799437335,0.124619614483356,0.1449974478861302,0.159004818475526,0.1626547455661186,0.172846708927733,0.1814090485338537,0.1818981744723513,0.1827784024691662,0.1962248436253446,0.2180595948903728,0.2286008406614774,0.2338837376923855,0.2723087789024526,0.9354377329291388,7.227746094415908,7.110571130416798,5.7172199668573,5.032296337535589,4.863555689860106,4.800897419262669,4.713064464185227,3.984606425073873,3.7957107861622505,3.696359106947813,3.640281682334499,3.478789060863628,3.1380433594825226,2.8159132546552663,2.7381320806320657,2.677696979530592,2.564157128072857,2.299970179137855,1.9937035068687647,1.1117709801645352,0.4211772392624011,0.0,3.9732392036395554,3.81629323590855,3.815001186908358,3.778005950773699,2.6643670928828445,2.563128952854932,2.5020965337215726,2.483553848142273,2.379256934733493,1.704842895826373,1.6834032421851186,1.6435308871671837,1.2092539092200574,1.196445817729205,0.453406305098788,0.3220133877650446,0.1505158432858855,0.0,-0.1146244782334386,-0.3292307091357647,-0.5533485546570884,-0.7035672159210229,751.8752314146926,735.8766036461709,592.3966830981088,521.5328702271751,511.3781455817441,507.9870739628242,496.7657129399863,414.36896262260655,381.2748942455012,373.3401977437144,365.32140413057743,344.7447929028699,292.4395056157443,282.9345000047375,274.30413029412153,264.8863809208219,229.89394559557024,176.15748898353291,139.83853605743263,118.47758128986612,74.86513830970074,0.0,480.7407536894307,480.2758081323011,454.08880550234346,359.3759912438608,304.4119297748548,293.3538076611393,264.023076914091,254.89510257099428,242.39512814171368,170.22677157183023,165.04581334018832,162.76100102535813,116.59038374359756,106.39116236668748,37.45990960506916,15.862740609809322,3.556803949834034,0.0,-31.802603000301477,-51.20683747616923,-53.18852987399248,-119.87945898568466
296,20170910051699,0.64,0.44,96.28,2,0,1,0,1,0.0,80.0,49.0,10.0,22.5,99,8.504586997614876,8.410588564422827,8.280108694938734,6.765744600559502,5.4117002873403885,5.333413541063543,5.000999900019995,4.831407662369212,4.575642031453078,4.426488450227792,4.212671361499726,4.109111826173627,3.951708491273109,3.894868418830085,3.459046111285592,3.3267702054695683,3.000166662037293,2.5303161857760013,2.2842942017174592,2.19146070008111,0.7286288492778756,0.0,-1.0,0.1175836052098063,0.1188977432839891,0.1207713614449597,0.1478033917977488,0.1847848082679863,0.187497180239391,0.1999600119960014,0.2069790152027086,0.218548565015789,0.2259127096442641,0.2373790676242061,0.2433615930407015,0.2530551031809113,0.2567480829815486,0.289097042313882,0.3005918468176408,0.3333148163578819,0.3952075260876215,0.4377719819312873,0.4563166475962759,1.3724408537914372,4.431611902787926,3.881713811003957,3.741174784561888,3.1278373699927293,2.9668099409554887,2.5236990122778744,2.3369063372530854,2.290580647465017,2.2840593676175267,2.2322607029981474,2.1940348173225668,2.105971091154616,1.9089744834060216,1.907072990103705,1.6344069054456931,1.6159130744177133,1.5003518529936044,1.4936130127540692,1.2485431774108775,1.2235171330529484,1.0182442893651693,0.0,0.5986092082716653,0.5090277232180197,0.2734553876465461,0.2226881400515594,0.0163100938920469,0.0,-0.0433956087761483,-0.112331243110472,-0.4486622239017872,-0.8556798861887072,-0.8625571447412166,-1.1881629961915166,-1.2419551616469382,-1.3792530891571653,-1.3813750457353169,-1.4827386271690506,-1.6025065187988163,-1.8149286781392453,-1.9706391587892504,-2.116012793819836,-2.3564192659069385,-3.84124470400958,498.7555306717126,442.1074943852133,409.9351905810247,371.5102794080706,353.2784213926608,269.4260284194199,262.1393333445458,261.60027359381263,259.9558367874063,254.54612356893657,246.92247582074276,234.5248804630764,214.43596774682663,206.47292316881905,166.07345282725186,164.61155404870533,161.04299557954397,152.95269428060635,150.4834211978308,131.8430288793663,80.27642212513038,0.0,81.09332080109606,65.40996337968163,61.18098285409757,44.50862102667084,37.66883649125373,7.930305502357243,0.0,-1.8915217356313576,-47.03869162466261,-95.07398848008398,-96.42208931569948,-140.95566199513303,-144.8291286895957,-169.3495645277199,-176.14820683943444,-176.18294343979767,-200.0566883649377,-207.9482015470129,-218.9378198182244,-226.44697123589668,-232.9608574434663,-403.5133398805863
297,20170910051724,1.57,0.52,81.79000000000002,2,0,1,1,1,0.0,80.0,49.0,10.0,22.5,99,7.882042882400481,7.6865857179894865,6.980179080797287,5.800293096042648,5.094722759876146,5.0374795284943925,4.895079161770524,4.703456176047571,4.692557937841586,4.545283269500373,4.257475777969854,3.898525362236346,3.698026500716295,3.696065475610518,3.4058772731852875,3.3879344739826376,3.2653483734511446,3.1700630908548195,3.0530804116498547,2.7238942710758827,1.0220078277586704,0.0,-1.0,0.1268706622026711,0.1300967733514798,0.1432628000549491,0.1724050808194964,0.1962815342722025,0.1985119729705147,0.2042867882116752,0.2126096135630042,0.2131033890782317,0.2200082900685576,0.2348809604917688,0.2565072449410361,0.2704145034672692,0.2705579775571534,0.2936101097573511,0.2951650947441331,0.3062460373693912,0.3154511349899809,0.3275380485178933,0.3671214446972717,0.9784660868919812,7.344568912485892,6.714430420137205,6.389714111163835,5.794624532266448,5.582108839619786,5.386909707657216,5.352366595102114,5.32855907675659,5.108773276455827,5.003751631660705,4.655475370744183,4.561228511238146,4.288825950863642,4.171212667313866,4.0842333987558135,3.880018177383776,3.836488251521488,3.7224744732249584,3.173273797978489,2.924465650429923,2.723390138626284,0.0,2.934741664404016,2.869467871912647,2.811744356980366,1.875941190209488,1.582971622505242,1.514884449937106,1.5125923840302,1.4792828549324433,1.3820710544596564,1.3091418616650397,1.3017146374625013,0.851107569556273,0.8344004704144985,0.6504646550569857,0.0949477607921518,0.0,-0.0146917371123063,-0.1472181141690479,-0.3216175337444519,-0.5556965420024859,-0.6101063321385485,-1.198072054515929,770.6296047335898,726.2096272126042,681.709145098285,620.4593136470389,619.6646467028442,615.9836414026257,582.281015250751,564.4656333567855,543.8007771464338,542.6450806285717,482.1771692078107,474.4565808449692,443.215874452632,432.9696646486828,419.79156314271154,393.9056165159627,376.54009585581,361.0336159978347,312.8965263579211,268.80895382860933,251.42505623891955,0.0,324.6530824413558,259.4574737591733,247.5172531573314,235.6757937267587,230.5368436150389,209.2063228448586,195.17849045910643,173.44121136090422,172.32033051056388,146.69596577708057,146.33999600629812,106.84855240535862,91.17750387736744,80.02142854240456,1.4292980790558758,0.0,-7.880747348439108,-37.10112427964624,-42.331269305432,-50.11644478022885,-75.65898509961613,-191.79205568346467
308,20170910052786,3.19,0.5,323.68,3,1,1,1,1,0.0,80.0,49.0,10.0,22.5,98,10.94022394651956,10.319728678603909,7.485940154716705,6.63035443999792,6.389593101285876,6.078157615593724,5.952142471413128,5.934930496644423,5.874563813595024,5.87388287251286,5.297018029042378,5.2745521136869975,5.157955021129981,5.036447160449519,4.903886214014348,4.670610238502031,3.8658116870846153,3.841379960378832,3.3668531301498783,1.8760863519571875,1.1207140580897497,0.0,-1.0,0.0914058071286678,0.0969017724345136,0.1335837555914636,0.1508214996723936,0.1565044884937594,0.1645235387503715,0.1680067311565183,0.1684939698224595,0.1702254042565307,0.1702451379613904,0.1887854627862735,0.1895895572640354,0.1938752850506487,0.1985526638406639,0.2039199027787789,0.2141047848001811,0.258677887322066,0.2603231157329673,0.2970132528339554,0.5330245054854597,0.8922882628103139,6.061530590224384,3.906040936443334,3.695976273263133,3.469141680686289,3.453580734913557,3.446528777493742,3.2272524799830484,3.141461135861378,2.982771855044964,2.7844034657183627,2.604020461230422,2.507153047067115,2.4414334225884327,2.293008973085374,2.277160942161093,2.132052023827649,1.8279717498066537,1.6395518922834422,1.485111162826867,1.2483052189841537,1.0806490715403023,0.0,3.544381991556412,3.2344034982949035,3.1325428470794585,2.8293983380122487,2.435116128136064,2.4272653926752232,2.2309890562115253,2.143977337632853,2.08536800487945,1.8053407540240176,1.6023187421383147,1.5992274607816075,1.3847646192255367,1.214034646143605,1.1352284617225128,1.0625690658286553,1.052073755774522,0.9042583479591472,0.7017277796178893,0.0997967475013426,0.0,-0.4738147389311153,640.8144505747832,424.5984348602476,389.7965723467919,388.9255712901559,375.7628388869711,373.3825918922476,371.19539528999366,321.9553721471497,317.36943753808293,308.924836565706,261.8297275805923,259.89782452125144,255.64976912866635,238.12386701359355,237.7276083108025,215.7067257220796,171.76516241814528,145.30694025829644,120.88786437483692,102.451055084715,85.43003951736475,0.0,346.5539550435681,311.46278560304256,297.8175721090513,270.9987614777614,265.03241840912176,245.1322789237806,163.02271454182332,157.70869054185783,133.62932864500772,133.48611773958982,132.38565325325902,121.4399781757943,90.8068515657281,87.88989075329624,87.3918829756359,57.37878974535562,56.39298576809296,27.180166498804567,8.943960273430605,0.0,-51.43172949644298,-108.52493698919244
334,20170910070686,2.35,0.44,75.37,1,1,10,3,1,0.0,72.0,50.0,7.0,45.0,60,22.95754777845404,16.966923704667266,15.918344763196954,11.998470735889637,8.849774008413998,8.83888001954998,8.64190372545309,8.053148452623978,8.051589905105695,7.751935242247575,7.633983232887005,6.922781233001656,6.823562119597059,6.1842541991739,6.156005198178439,5.832195127051218,5.5518015094201525,5.400564785279408,5.238291706272192,5.170783306231273,1.3277424449041269,0.0,-1.0,0.0435586592109159,0.0589382033777236,0.0628206019454981,0.0833439545765458,0.1129972357541832,0.1131365057324212,0.1157152442065154,0.1241750361219489,0.1241990727031287,0.1290000456337742,0.1309932140919599,0.1444506140440912,0.146551021661843,0.1617009857281709,0.1624430077310363,0.1714620272839883,0.1801217133399358,0.1851658187169146,0.1909019306432718,0.1933942965265837,0.7531581172523317,6.736946854468959,4.963585427870662,4.795062456037585,4.52662740405762,4.435315498740408,4.385036569318849,4.3846623570278345,4.152281999030123,3.614652937862179,3.179721414345388,3.160518328276365,2.986743594021965,2.709138158230282,2.589132107437605,2.294449074993905,2.259967531090433,2.1709041568821386,2.111318746485148,2.071215648605369,1.4878132916845082,1.4763769138620266,0.0,2.6013945494639823,2.1712945151561223,2.1662838487607123,2.1388368916707283,2.067981763766431,1.6958629224800157,1.6706006494024774,1.6434620640666229,1.4375221806840628,1.4091937185978531,1.3651131361366369,1.1550464363999249,1.040711633825238,0.9240261330633056,0.8476741411166144,0.8387994745809817,0.7909555296098343,0.491793565601465,0.3633328752217584,0.0,-0.3320032331424536,-0.4403720198067877,650.000788266989,494.78714707962536,466.06691560755365,459.7431858480337,431.3074638159068,431.1167828604106,420.9353018041867,414.51359454690737,350.8055741918703,286.00172524839445,281.3694169364954,272.73444918989566,272.32765480133344,264.52530990864625,223.47004757966465,188.8773782919344,162.28434425157198,147.92294916546592,145.09494441937824,136.11841188135463,134.57014457498298,0.0,266.18701410055803,264.49479851229506,251.0200923414345,199.41132277678847,193.14415553739715,191.15611113966847,187.54660017418576,175.01291133493902,146.65507958935603,144.65193242367008,136.7893540683799,114.1439959356213,99.83548404979616,92.422687007556,82.66711493873399,80.36019502680072,69.49869510479706,48.82614771880159,29.192305572005708,0.0,-12.514504017176677,-40.10103479487424
481,20170910102582,1.6,0.48,76.06,3,1,3,0,1,0.0,71.0,49.0,11.0,180.0,97,12.058113451116638,10.365891182141556,8.732909022771276,8.39488534763877,7.89953163168552,7.648176253199193,7.640942350260211,7.04909214012699,6.62281662134775,6.62212201639324,6.580410321552912,6.208776046854973,6.077014069425878,5.644687768158661,5.468025237688661,5.443317003445613,4.828426244647431,4.740232061829891,4.603400916713651,3.7544640096823416,1.042353107157068,0.0,-1.0,0.0829317126641726,0.096470239020337,0.114509380252614,0.1191201497803981,0.1265897836257705,0.1307501248525366,0.1308739098085127,0.14186223986313,0.1509931585266359,0.1510089964401854,0.1519662074452539,0.1610623402186563,0.1645544980767955,0.1771577173215742,0.1828813797543299,0.1837115125514463,0.207106818936823,0.2109601359081913,0.2172306992357067,0.2663496034110627,0.959367793057592,6.639166052241194,5.986322030545129,5.120185613786457,4.820025381652208,4.680692594969073,4.568951722122675,4.281813446176989,4.021143757394347,3.890497090670107,3.403476424291464,3.3632570691348054,2.887132597369221,2.8432331541771623,2.465536783425965,2.1057598072707586,2.10294840771789,1.8372361263550083,1.8296105611689952,1.608818573549432,1.2395993445409483,0.1954302659584179,0.0,5.811350319559139,3.85573819417126,3.005162058629844,2.529795415538543,1.7303842204593742,1.609316529901939,1.585034156673553,1.506623653773297,1.3591628748847295,1.1653681281761608,1.1597457459436291,0.990771385559808,0.3446384075953093,0.2810097783602738,0.0612692639983354,0.0,-0.2259957410323672,-0.4792591796168004,-1.0778008246574364,-1.2572693377760285,-1.4851404724883066,-1.625977255612023,658.7584994329804,619.3405200479144,568.0812739087744,472.7537837023125,465.2137137825062,448.1395310693815,427.54782106684144,426.6344808639511,396.76489119041264,344.5934151775131,341.0359955173904,277.674306734168,272.39751113152926,216.1957992416356,204.73263332926305,188.50527780660872,151.51124166722434,150.4515735807644,125.49480195947126,83.70754125431108,35.50181859011184,0.0,537.0219881441343,369.5823210353353,288.63996232805584,253.4563655317596,175.96415078828926,170.1668524537923,146.21481945038357,119.78400464030264,109.82187270525826,101.67907582622443,69.87452017907722,56.18997080410605,18.20153865003644,0.0,-2.8830815328295785,-51.16565409748853,-60.14479991260009,-75.10650928481658,-93.01258820636916,-103.53923096870597,-176.78729108610628,-245.05820030531876
522,20170910112692,1.95,0.52,96.79,3,0,2,0,1,0.0,87.0,43.0,8.0,315.0,98,11.56027681329474,11.397863834947326,10.594885558607988,8.231318241934277,6.979699133916883,6.820117301044027,6.635917419618781,5.7709357993309895,5.080246057033063,5.000009999990008,4.523648969581969,4.487694285487819,4.019315862183515,4.002923931328201,3.7488264830477296,3.3746851705011074,2.790286723618203,2.7298534759213724,2.424953607803665,2.39710241750327,1.189621788637033,0.0,-1.0,0.0865031189261803,0.0877357384226569,0.0943851629607772,0.1214872236266508,0.1432726512724077,0.1466250440951975,0.1506950639626024,0.1732821217861976,0.1968408594334925,0.1999996000011996,0.2210604772218676,0.2228315781745143,0.2487985603243295,0.2498173877783863,0.2667501428839186,0.2963239382272539,0.358386108329142,0.3663200273642829,0.4123790231623121,0.4171703272660171,0.840603298923866,3.9555481852177103,3.8802596715647866,2.828462101231426,2.596311829280811,2.583913986022223,2.5433480542177147,2.4861891491706167,2.267729362817079,2.1922247215041786,2.1451634776711144,2.111624533684688,1.9764234709080155,1.86895574444152,1.80329184616504,1.6727153986763308,1.437588921771249,0.9730341372248306,0.1881637956732589,0.0,-0.1813084394204305,-0.2055918280345647,-3.080039162192836,3.716700724143024,3.185836640402232,1.4144775986173743,1.34902277140093,0.626986141270401,0.4544182319099735,0.3579878302613791,0.3349029357135624,0.0,-0.1814174012749947,-0.2128203115975842,-0.2382598251254983,-0.3970891367638147,-0.4438459338599456,-0.5906034730957204,-0.6148533479636344,-0.8051736863867385,-1.000750705736974,-1.0367452928702443,-1.1736110923165046,-1.3386934065512233,-1.5361072097055486,409.5282449247142,407.0238499314552,341.3043611304247,291.6716232206708,286.3913236812082,267.36271239948815,265.562515057193,262.33504316110464,247.89241919222025,246.8782703497025,245.64105453103983,217.55966671357163,207.53131324115975,202.18395092967796,183.5269948593489,159.75931437999577,78.2888245742625,17.010289186260366,0.0,-17.98109557399738,-24.52237562213477,-342.2848752960564,413.0371001420432,312.7971005677227,153.5723141458186,149.9169545466962,75.77992967463435,60.17130064213393,22.57495698204069,12.738517031491185,0.0,-47.2970051696002,-53.75507531702991,-63.24456869829055,-67.40401114476796,-77.40470685833444,-83.10316747018334,-88.51382330915777,-98.4163202668959,-100.41329397153513,-109.2063698533866,-116.1256949612788,-146.49758400559793,-274.8563900293668
